epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62469,0.85624,4.56471,1.06697,0.01325,0.49733,0.02841,0.0217,0.67565,4.65297,0.99717,6.25e-06,6.25e-06,6.25e-06
2,11.67,0.91628,4.68906,1.11827,0.02572,0.34998,0.02786,0.02161,0.67504,4.66256,0.99568,1.85644e-05,1.85644e-05,1.85644e-05
3,14.011,0.88154,4.59633,1.10245,0.03012,0.22459,0.0277,0.02169,0.67087,4.67524,0.9945,3.06313e-05,3.06313e-05,3.06313e-05
4,16.6471,0.85401,4.58675,1.08227,0.05547,0.1814,0.04176,0.03248,0.65511,4.25727,0.97558,4.24506e-05,4.24506e-05,4.24506e-05
5,19.6869,0.86242,4.09618,1.07602,0.07711,0.30466,0.08524,0.06681,0.65607,3.73283,0.95025,5.40225e-05,5.40225e-05,5.40225e-05
6,22.7785,0.87025,3.29206,1.06469,0.33988,0.30193,0.16809,0.13449,0.6597,3.54457,0.93372,6.53469e-05,6.53469e-05,6.53469e-05
7,26.0235,0.81242,2.81448,1.05788,0.18506,0.57857,0.27433,0.22868,0.59206,3.65766,0.90528,7.64237e-05,7.64237e-05,7.64237e-05
8,29.3265,0.7172,2.30975,0.98747,0.44628,0.34706,0.39349,0.32443,0.58305,3.64946,0.90179,8.72531e-05,8.72531e-05,8.72531e-05
9,32.61,0.74866,1.95108,1.00049,0.5293,0.44212,0.49822,0.41404,0.57538,3.17128,0.89892,9.7835e-05,9.7835e-05,9.7835e-05
10,35.708,0.79827,1.88171,1.0391,0.60535,0.47734,0.5416,0.46239,0.57701,2.67401,0.89358,0.000108169,0.000108169,0.000108169
11,38.8177,0.74115,1.59338,0.99915,0.66545,0.57495,0.63069,0.5306,0.57862,2.33202,0.88589,0.000118256,0.000118256,0.000118256
12,41.9184,0.74033,1.43506,0.99316,0.55234,0.75429,0.70605,0.59248,0.596,2.12867,0.89044,0.000128096,0.000128096,0.000128096
13,45.2748,0.7022,1.24429,0.96221,0.5867,0.79492,0.73281,0.6192,0.60917,2.01287,0.89722,0.000137688,0.000137688,0.000137688
14,48.4209,0.68818,1.20658,0.96393,0.62004,0.82309,0.75846,0.64236,0.61541,1.86689,0.91075,0.000147032,0.000147032,0.000147032
15,51.7814,0.71794,1.07325,0.95192,0.63259,0.82224,0.76094,0.6403,0.60321,1.83349,0.90736,0.000156129,0.000156129,0.000156129
16,54.7767,0.71337,1.02941,0.99577,0.65654,0.81187,0.78776,0.65697,0.6076,1.90443,0.89803,0.000164978,0.000164978,0.000164978
17,57.9429,0.6928,0.94295,0.9363,0.68716,0.78413,0.79413,0.67938,0.60756,1.8541,0.90951,0.00017358,0.00017358,0.00017358
18,61.3562,0.6836,0.8788,0.95696,0.68146,0.75043,0.777,0.66856,0.61546,1.74853,0.91372,0.000181934,0.000181934,0.000181934
19,64.5026,0.69995,0.88514,0.98005,0.70014,0.7216,0.77032,0.65542,0.67946,1.72805,0.9325,0.000190041,0.000190041,0.000190041
20,67.6214,0.73859,0.85277,0.9687,0.72735,0.80421,0.79261,0.66212,0.65367,1.51068,0.92659,0.000197901,0.000197901,0.000197901
21,70.9023,0.66145,0.77902,0.94393,0.84785,0.74121,0.80537,0.67466,0.65038,1.43827,0.92205,0.000205513,0.000205513,0.000205513
22,74.471,0.68078,0.73128,0.94481,0.83792,0.70917,0.8042,0.64511,0.77533,1.44605,0.94793,0.000212877,0.000212877,0.000212877
23,78.195,0.67078,0.70866,0.93679,0.84366,0.71816,0.82926,0.66625,0.75896,1.23956,0.96091,0.000219994,0.000219994,0.000219994
24,81.5195,0.68129,0.72597,0.97023,0.7571,0.83894,0.86147,0.70265,0.68269,1.15766,0.95293,0.000226863,0.000226863,0.000226863
25,85.0824,0.68083,0.68725,0.96032,0.7621,0.71093,0.82957,0.67637,0.73109,1.14986,0.96138,0.000233485,0.000233485,0.000233485
26,88.5624,0.63482,0.67077,0.94443,0.69651,0.74269,0.8021,0.67167,0.68209,1.18495,0.94582,0.000239859,0.000239859,0.000239859
27,92.0844,0.62461,0.60222,0.91774,0.78966,0.67678,0.79902,0.66179,0.70734,1.15445,0.95974,0.000245986,0.000245986,0.000245986
28,95.3175,0.64032,0.62661,0.96082,0.81039,0.68193,0.81464,0.66514,0.7198,1.07777,0.96179,0.000251866,0.000251866,0.000251866
29,98.529,0.61747,0.58767,0.92609,0.75769,0.77301,0.87566,0.71545,0.65901,0.94919,0.95309,0.000257498,0.000257498,0.000257498
30,101.534,0.66044,0.63407,0.94926,0.79049,0.84064,0.90481,0.74269,0.66502,0.87839,0.9587,0.000262882,0.000262882,0.000262882
31,104.458,0.61204,0.56484,0.93551,0.8451,0.78096,0.89327,0.73609,0.65853,0.89635,0.95363,0.000268019,0.000268019,0.000268019
32,107.797,0.57208,0.52332,0.92522,0.82994,0.74148,0.8777,0.70483,0.68665,0.9761,0.98459,0.000272908,0.000272908,0.000272908
33,111.067,0.6124,0.55869,0.93215,0.7728,0.77808,0.85939,0.69489,0.68183,0.93434,0.98112,0.00027755,0.00027755,0.00027755
34,113.859,0.58198,0.56083,0.93792,0.69896,0.84873,0.87378,0.70839,0.67074,0.83475,0.97462,0.000281944,0.000281944,0.000281944
35,117.301,0.58353,0.52364,0.92301,0.699,0.82121,0.89675,0.73581,0.65118,0.8674,0.94803,0.000286091,0.000286091,0.000286091
36,120.14,0.61042,0.5555,0.93078,0.75062,0.8266,0.88198,0.71709,0.67194,0.83597,0.98036,0.000289991,0.000289991,0.000289991
37,123.123,0.60302,0.56122,0.92829,0.79388,0.76538,0.85869,0.6968,0.661,0.864,0.97,0.000293643,0.000293643,0.000293643
38,125.984,0.57392,0.49948,0.91935,0.82118,0.78723,0.89536,0.73312,0.66047,0.77447,0.96437,0.000297047,0.000297047,0.000297047
39,128.837,0.57004,0.50956,0.9115,0.88549,0.73555,0.89562,0.71892,0.67051,0.75388,0.98044,0.000300204,0.000300204,0.000300204
40,132.224,0.5866,0.50968,0.91217,0.81317,0.80192,0.89475,0.7322,0.65972,0.69633,0.97394,0.000303113,0.000303113,0.000303113
41,136.087,0.55964,0.46867,0.9059,0.84943,0.81009,0.86991,0.7103,0.66245,0.7032,0.97743,0.000305775,0.000305775,0.000305775
42,140.041,0.55191,0.4902,0.90901,0.83278,0.75782,0.89328,0.73536,0.67836,0.75661,0.98514,0.000308189,0.000308189,0.000308189
43,143.176,0.58454,0.48572,0.93357,0.71685,0.85246,0.8829,0.72297,0.70478,0.72984,0.99064,0.000310356,0.000310356,0.000310356
44,146.901,0.55936,0.50028,0.93722,0.77663,0.85381,0.89886,0.72532,0.64485,0.67232,0.97349,0.000312276,0.000312276,0.000312276
45,150.468,0.54366,0.45365,0.8976,0.88925,0.86042,0.93999,0.76748,0.63614,0.65781,0.96914,0.000313948,0.000313948,0.000313948
46,153.25,0.54011,0.48847,0.89749,0.84595,0.84657,0.92504,0.74344,0.65065,0.77297,0.99172,0.000315372,0.000315372,0.000315372
47,156.404,0.55398,0.45228,0.91934,0.80265,0.82826,0.91517,0.75093,0.6415,0.86062,0.98436,0.000316549,0.000316549,0.000316549
48,159.797,0.56076,0.50073,0.91988,0.80372,0.84172,0.90595,0.75404,0.66897,0.73454,0.98277,0.000317478,0.000317478,0.000317478
49,162.664,0.57426,0.46242,0.89951,0.82575,0.85876,0.88673,0.72126,0.64384,0.67371,0.98593,0.00031816,0.00031816,0.00031816
50,166.13,0.59215,0.46661,0.94237,0.84012,0.8377,0.89611,0.742,0.65771,0.69437,0.98024,0.000318594,0.000318594,0.000318594
51,169.886,0.53233,0.46603,0.89884,0.87691,0.81725,0.911,0.75836,0.66566,0.68498,0.97086,0.000315625,0.000315625,0.000315625
52,172.837,0.50386,0.40158,0.88735,0.77518,0.92867,0.93116,0.76892,0.63343,0.65572,0.96801,0.000309437,0.000309437,0.000309437
53,175.719,0.50135,0.40847,0.8944,0.85926,0.88317,0.93981,0.7709,0.67051,0.67574,0.96637,0.00030325,0.00030325,0.00030325
54,178.704,0.53082,0.43256,0.91163,0.89918,0.85152,0.92999,0.74827,0.73434,0.68814,0.98728,0.000297063,0.000297063,0.000297063
55,181.593,0.48974,0.40143,0.88814,0.87405,0.85751,0.93271,0.75812,0.66489,0.69208,0.97839,0.000290875,0.000290875,0.000290875
56,184.429,0.51986,0.41762,0.92103,0.83131,0.86815,0.9311,0.74734,0.69963,0.7676,0.98774,0.000284688,0.000284688,0.000284688
57,187.225,0.53822,0.44381,0.91709,0.83119,0.87919,0.9285,0.74145,0.74971,0.78165,1.00107,0.0002785,0.0002785,0.0002785
58,189.968,0.51053,0.39814,0.89604,0.83998,0.85221,0.93149,0.76313,0.6439,0.71928,0.97366,0.000272313,0.000272313,0.000272313
59,192.711,0.53761,0.41069,0.91726,0.82632,0.88394,0.93282,0.76848,0.6725,0.70745,0.9798,0.000266125,0.000266125,0.000266125
60,195.533,0.54705,0.41834,0.92856,0.79693,0.88419,0.92581,0.71977,0.84846,0.7883,1.01969,0.000259938,0.000259938,0.000259938
61,198.577,0.57874,0.43751,0.91649,0.81961,0.83599,0.92637,0.72194,0.83638,0.75359,1.01541,0.00025375,0.00025375,0.00025375
62,201.533,0.50865,0.3945,0.89296,0.89996,0.85136,0.94004,0.77536,0.68354,0.62515,0.96837,0.000247563,0.000247563,0.000247563
63,204.401,0.51592,0.39172,0.89206,0.83556,0.84917,0.92955,0.75992,0.6884,0.60367,0.96931,0.000241375,0.000241375,0.000241375
64,207.211,0.47779,0.38673,0.89072,0.85013,0.82939,0.92562,0.74932,0.74851,0.6271,0.98626,0.000235188,0.000235188,0.000235188
65,210.142,0.49275,0.36965,0.88422,0.80327,0.90064,0.9281,0.76037,0.69,0.6324,0.97515,0.000229,0.000229,0.000229
66,212.906,0.48674,0.40263,0.90622,0.84053,0.87948,0.92878,0.76303,0.69046,0.6359,0.98095,0.000222813,0.000222813,0.000222813
67,215.794,0.47652,0.38244,0.87757,0.80564,0.92502,0.92316,0.74522,0.75705,0.63694,0.99862,0.000216625,0.000216625,0.000216625
